district,mae,rmse
Muzaffarnagar,356.51434326171875,407.44930666280436
Deoghar,357.530029296875,429.8216199774041
Shajapur,360.23638916015625,433.93511899822073
Gorakhpur,360.46075439453125,423.9693753680801
Katihar,360.764404296875,476.6046579713631
Satna,365.7439270019531,438.3730396306324
Ghazipur,371.29132080078125,427.4308058036996
Varanasi,373.56280517578125,453.13567228811286
Sahibganj,373.96856689453125,453.8274382956588
Kurnool,375.25177001953125,457.1962106142176
Dewas,377.0753479003906,458.3793461751958
Jaunpur,379.1671142578125,428.7863869399307
Bahraich,379.3765563964844,448.8920039942792
Mathura,379.4949035644531,442.5265352213356
Nalanda,379.5174560546875,471.24807691915305
Bhopal,381.9391784667969,476.5921998942072
Siddharth Nagar,382.7939453125,457.0691618890953
Ratlam,386.20556640625,482.27337618305245
Rajkot,386.7210693359375,476.7579312397435
Rajgarh,394.700927734375,565.3275599154883
Bankura,398.3013610839844,450.3222804281396
Bhagalpur,399.5780029296875,483.3383261236377
Unnao,400.34112548828125,486.21057038077646
Gwalior,405.63818359375,501.504221692101
Fatehpur,413.6629943847656,493.146751738263
Nagaur,418.83099365234375,501.28235556420697
Palamu,422.0205078125,472.10312366579404
Sitamarhi,422.39080810546875,588.8530164650598
Nadia,423.36712646484375,459.03924804966294
Jabalpur,425.094970703125,539.6120713067861
Pratapgarh,425.75775146484375,500.85609522596405
Aligarh,425.91595458984375,522.7810846807677
Moradabad,428.477294921875,506.7053661892678
Vadodara,431.4352722167969,519.9136346548338
Mandsaur,432.1124572753906,506.2845667211277
Begusarai,433.6028137207031,570.5041903877657
Bhojpur,441.352783203125,515.4845414752997
Purba Medinipur,441.3606872558594,506.96186062168425
Basti,444.8030700683594,516.8267359570323
Barmer,446.3102722167969,491.8854509690239
Udaipur,450.5778503417969,531.0353095604848
Hardoi,451.8276672363281,548.4649316501466
Saharanpur,454.70263671875,571.6718354965548
Morena,455.2094421386719,595.8412120691216
Siwan,457.1552734375,552.3541379857672
Bijnor,458.53668212890625,577.7562472617669
Bulandshahr,461.3271179199219,554.3283661332874
Bharatpur,462.279052734375,535.9530063354435
Viluppuram,471.62579345703125,641.9564091509641
Darbhanga,472.8409423828125,575.6125812992624
Malappuram,475.2315673828125,643.6420540564452
Ghaziabad,484.2014465332031,596.7698205757392
Jodhpur,484.97381591796875,615.8110505666491
Meerut,485.0450439453125,577.8170125567436
Chhatarpur,485.1064147949219,618.7395958721246
Nashik,485.4268798828125,671.0630326206325
Birbhum,493.86102294921875,544.2425929675111
Kanpur Nagar,506.3253173828125,620.2956200474093
Lucknow,506.8280029296875,623.1482066892273
Azamgarh,507.6031188964844,589.8243912386126
Madhubani,509.91351318359375,657.9044145998718
Indore,510.76129150390625,680.2119155086891
Vaishali,524.0922241210938,641.4485803632275
Alwar,532.658203125,624.436395880317
Sitapur,533.9534301757812,642.7623977800818
Giridih,534.623046875,652.2232650710952
Patna,539.5787963867188,661.6874262066644
Hyderabad,548.3006591796875,733.9788825300085
Bareilly,551.81298828125,655.3242518021136
Pashchimi Singhbhum,556.2958374023438,729.502441736832
Muzaffarpur,561.1728515625,696.842723467785
Balrampur,570.832275390625,700.127466073143
Ujjain,571.0151977539062,714.3214874970513
Ranchi,572.0629272460938,703.2198269389168
Gaya,580.9693603515625,831.0822763120387
Samastipur,629.0709838867188,792.4833988797494
Surat,642.27880859375,874.0516289098716
North 24 Parganas,656.37255859375,732.4728663916501
Ashoknagar,677.7539672851562,889.4384464368516
Thane,750.1907958984375,935.2010479036045
Jaipur,755.0481567382812,967.3771885877815
South 24 Parganas,786.5906982421875,1023.0317688126796
Murshidabad,791.9044799804688,934.6792899171352
Pune,843.4360961914062,1063.2765397581195
Mumbai,973.2578125,1222.6030631402818
Pashchim Champaran,2070.8173828125,2531.8066671845227
