district,mae,rmse
Malappuram,3142.599609375,3762.660627800493
Lucknow,3161.631103515625,3399.205936685802
Madhubani,3219.860595703125,3961.690422029465
Madurai,3223.188720703125,3786.3836308541163
Vellore,3225.060791015625,3769.690040308354
Cuddalore,3354.7724609375,3897.3578229359437
Coimbatore,3387.5244140625,3826.339242670467
Janjgir-Champa,3457.3681640625,4097.303747588162
Nagaur,3461.534912109375,3823.8709444749834
Surat,3520.746826171875,4040.150492246545
Sitapur,3541.270751953125,4230.832542183631
Tirunelveli,3549.52978515625,4087.9383556996063
Bareilly,3611.314208984375,4150.843769644914
Guntur,3737.525146484375,4198.638588876161
Kurnool,3770.020751953125,4324.718950405911
Visakhapatnam,3836.10498046875,4177.80037818946
Balrampur,3908.57177734375,4654.812133695623
Indore,3919.52734375,4597.714432193457
Sangli,3979.405029296875,4599.330603468292
Kolhapur,4067.4638671875,4710.284280168236
Chennai,4121.5029296875,5026.7412903391
Chandrapur,4166.6044921875,4892.193168712781
Salem,4315.7265625,5002.280479941124
Durg,4434.3134765625,5436.1582022601215
Bilaspur,4438.2421875,5319.322137265236
East Godavari,4515.7880859375,4737.817852134039
Raipur,4961.4130859375,6038.576653483832
Nanded,5362.7607421875,6672.292559533043
Amravati,5588.3349609375,6849.055409324705
Nagpur,5654.634765625,6899.2103896025665
Udham Singh Nagar,5776.884765625,7537.460049645371
Solapur,5918.44873046875,7045.3843046351985
Jaipur,6035.0517578125,7265.019752209901
Hyderabad,6446.3369140625,7743.440320684341
Yavatmal,6643.0615234375,7878.495287807184
Jalgaon,6702.2333984375,8147.5547251920925
Pashchim Champaran,9495.763671875,12211.62593596774
Nashik,11800.2001953125,14129.99079971392
Pune,12860.4560546875,15408.147455161507
Thane,13046.4150390625,15361.036944164935
Mumbai,14996.2109375,17870.784202155202
